epoch,train_loss,val_loss
0,0.028754952145632943,0.023721933795000684
1,0.022454759035342626,0.020204110383754505
2,0.02093844010285084,0.020563126350301233
3,0.021033948755983342,0.017273798765867612
4,0.020192971338655503,0.019196089035220232
5,0.019893910295690535,0.018533127699068067
6,0.020278157355184425,0.018119663788973794
7,0.018951199635969116,0.021424221726643152
8,0.01924989907207699,0.020524709928448667
9,0.01973256913431863,0.0193798979323526
10,0.019381688415158416,0.017627404661796294
11,0.01883494182901533,0.01955598666854684
12,0.019443517335426784,0.018968811403854927
13,0.019610683957772147,0.018513936692742344
14,0.018931648628332937,0.020653153019268393
15,0.019063034874388478,0.01908847532475801
16,0.019069191220538895,0.020050647769716837
17,0.019204344169277826,0.018502741435198682
18,0.01885058417050479,0.020948705536002674
19,0.019305265306973688,0.01895847685901169
20,0.01823542115692778,0.0188954334758937
